"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"9984","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP351/2025-2026/169099","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Kumbakudi Sudhakaran","KANNUR","17-Mar-2026","JOHN V P","Payment Success","423646"
"9985","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP18160/2025-2026/225222","BARMER(DISTRICT COLLECTOR BARMER_IDA)","UMMEDA RAM BENIWAL","BARMER","18-Mar-2026","SMC GSSS PHUSANION KA TALLA","Payment Success","550000"
"9986","Kerala","Purchase of vans and buses for educational institutions","WS/MP18423/2025-2026/199773","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Priyanka Gandhi Vadra","WAYANAD","24-Mar-2026","HM GUPS PULLIYIL","Payment Success","35884"
"9987","Kerala","Purchase of vans and buses for educational institutions","WS/MP18097/2025-2026/196250","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","SHAFI PARAMBIL","VADAKARA","18-Mar-2026","Vinodan C","Payment Success","100500"
"9988","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP18314/2025-2026/190977","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","17-Mar-2026","Vihavkarma Marble Industries Barnala","Payment Success","4430"
"9989","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/195381","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","27-Mar-2026","JAI KISSAN BKO","Payment Success","43857"
"9990","Karnataka","Construction of buildings for crèches and anganwadies","WS/MP18086/2025-2026/211901","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","SHREYAS. M. PATEL","HASSAN","24-Mar-2026","A NAVEEN","Payment Success","375000"
"9991","Karnataka","Construction of buildings for crèches and anganwadies","WS/MP18086/2025-2026/211901","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","SHREYAS. M. PATEL","HASSAN","17-Aug-2026","A NAVEEN","Payment Success","119728"
"9992","Maharashtra","Construction of community centers and community halls","WS/MP18133/2025-2026/148475","SATARA(DISTRICT COLLECTOR SATARA_IDA)","SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE","SATARA","22-Mar-2026","Vikram Vishwas Patil","Payment Success","750000"
"9993","Kerala","Purchase of books and periodicals for libraries/digitization of library books","WS/MP350/2025-2026/239357","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Rajmohan Unnithan","KASARAGOD","14-May-2026","DIRECTOR STATE INSTITUTE OF LANGUAGES","Payment Success","110000"
"9994","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP18158/2025-2026/200718","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","25-Mar-2026","BANSAL BRICKS COMPANY","Payment Success","24781"
"9995","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP18158/2025-2026/200718","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","25-Mar-2026","BANSAL BRICKS COMPANY","Payment Success","26186"
